iteration,chain,σ,Pm,Ps,Am,As,ρ[1],ρ[2],ρ[3],ρ[4],ρ[5],ρ[6],ρ[7],ρ[8],ρ[9],ρ[10],ρ[11],ρ[12],ρ[13],ρ[14],ρ[15],ρ[16],ρ[17],ρ[18],ρ[19],ρ[20],ρ[21],ρ[22],ρ[23],ρ[24],ρ[25],ρ[26],ρ[27],ρ[28],ρ[29],ρ[30],ρ[31],ρ[32],ρ[33],ρ[34],ρ[35],ρ[36],ρ[37],α[1],α[2],α[3],α[4],α[5],α[6],α[7],α[8],α[9],α[10],α[11],α[12],α[13],α[14],α[15],α[16],α[17],α[18],α[19],α[20],α[21],α[22],α[23],α[24],α[25],α[26],α[27],α[28],α[29],α[30],α[31],α[32],α[33],α[34],α[35],α[36],α[37],lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1001,1,0.02658809294171832,0.0477940483119372,0.05894296081445487,0.19123016043776747,0.5511247833749185,0.14456950736939977,0.039046167726832615,0.21001811969763284,0.053063034660489165,0.014528537624907183,0.0977438058522424,0.042400244057092126,0.04274217482847199,0.04611639923062051,0.022921786954294213,0.09644783931603043,0.012910559297220032,0.036427571930981686,0.03840849393677871,0.02705861168909009,0.026643111972043325,0.0393335457043497,0.013935242511893053,0.004816174102950317,0.016021411687741762,0.062278855480787855,0.07353556639934378,0.04117042988878938,0.00010479146112687565,0.02773037579340314,0.050619761802524664,0.03625286068211844,0.0282775094195658,0.015853239148692484,0.02148211082431322,0.05481293337341988,0.022118858844140336,0.10298418825047531,0.02226868623593014,0.04166313669268492,0.0002864953692697075,0.2150561317063006,0.9445694210083099,0.23324244122883775,0.3737016500423564,-0.5013326775556314,0.10101871714856556,0.1427344469104031,0.45693733876216563,0.4926304734241935,-0.11096298411257598,0.14974548441601931,0.6206964665561314,0.118118978432409,0.3149019532888198,1.127550276655103,0.12851509146244153,0.2376004105884249,0.32571114636351983,-0.09675955614951225,-0.014472201328241882,-0.055595780736523034,-0.12916135612288474,1.7597123188789734,0.07701440828610219,-0.11348120774926379,0.6699988033702129,1.0989774056815462,-0.5864803450458717,0.17793629341952316,0.7806049675231883,0.22523832562271331,0.5046840248578591,0.19198959849370242,0.9263903109506149,-0.2201305692777679,0.2310548988355608,0.4257505555815726,0.47357233766945867,19145.486470203934,31.0,1.0,0.9531274820440773,19145.486470203934,-19111.995119645933,-0.3336140188803256,0.8017752232226485,5.0,0.0,0.18749998612351063,0.18749998612351063
1002,1,0.026855760861298105,0.019668985877225143,0.08273579812810078,0.25452131832123187,0.4363336279493925,0.132890393541231,0.018210357392602773,0.3072242146103152,0.04464415440958875,0.0019942955261390617,0.06573596788073435,0.05342206695485253,0.06967898847309692,0.07147422101408582,0.02149502119408401,0.10545611792281208,0.026404008830362622,0.022354955084218888,0.03245303513947525,0.011018976793341047,0.017159430901880577,0.032693356142733346,0.011999357345381632,0.00018348839473584543,0.00968628231714317,0.02273639851831269,0.0054907118122068934,0.06840857052548022,0.0022701996523707274,0.04326350130450809,0.020285420842490964,0.03440834781573722,0.034332420319645805,0.03606688711434362,0.030395486176006063,0.05025519342474675,0.02444195542447721,0.07102753367453175,0.004866023676719138,0.04008658164255744,0.0007250686220987211,0.20270697043616068,0.9362090852902304,0.18285956021922356,0.4105467598249499,-0.5068653179863939,0.020399845740128535,0.11284256769249024,0.5190941539405398,0.5501513007981907,-0.011322627651444626,0.14545507171444394,0.6269936272382965,0.2344693932951766,0.23459457368773437,0.9754378613626845,0.07162354631744333,0.13390371508669102,0.2810178920688094,-0.07543981815445014,-0.07624074414059662,-0.07703480037768773,-0.10562743937829809,0.7974311675481626,0.09712703904775073,-0.09063637326416156,0.844670075994357,0.9517336247720605,-0.5384105619929598,0.18760307358758235,0.39228643060635926,0.259274539393627,0.47656417909954235,0.202321785289465,0.7187109782295324,-0.21747474954994206,0.22929298673328455,0.5187779092675026,0.4922712516922275,19143.45813727056,31.0,1.0,0.9525415523785568,19143.45813727056,-19111.641478236437,0.09484081650225562,0.14796491314700688,5.0,0.0,0.18749998612351063,0.18749998612351063
1003,1,0.02651686699256901,0.02166187375173641,0.06214615554796752,0.2961462587391587,0.4634461493064864,0.14031053504686697,0.02882230776290595,0.20731207253834924,0.050533169877724764,0.013075701140314033,0.07593197805717637,0.04140690074304201,0.044635622229119744,0.0409992541338756,0.01926773887447662,0.10689677299047382,0.01281374511348427,0.012250325306645366,0.040823438913417956,0.018291341270266454,0.09476106635464493,0.044544920695868184,0.01232515011164519,0.0070256222653170275,0.02047944941506357,0.022173924176018798,0.01116971311462969,0.03873029100425021,0.0031864588355966297,0.027948688565332388,0.04052380971264067,0.028721264038149723,0.028984964406713918,0.010855583587606516,0.016358476060600313,0.056958454985273285,0.043923980697105174,0.1274403793056685,0.007907843987854855,0.044554528781866144,0.0002807377638904535,0.1357753263893201,0.959413954711934,0.22870841702049693,0.4129593217668337,-0.30209926916268925,0.09492043142712209,0.1696456420644029,0.48746335095630755,0.5484004825208377,-0.03590896268933358,0.15287793071623082,0.6296487021637881,0.13406082783835607,0.21674617044493608,1.0550062240066254,0.09941756962350196,0.5859728103633377,0.2672247224135172,-0.3384799057139417,-0.07021689395456934,-0.06801023379357685,-0.13048723371994847,0.7058719884103312,0.06913244913546018,-0.14598975416751286,0.7215489147668542,1.1396148743735428,-0.40986126641070236,0.1560208180937343,1.5342403501399637,0.23618463736843384,0.5021634920530145,0.21867937687501077,0.9872183610663899,-0.19333235167591128,0.2589671093482143,0.45751960906653816,0.4262627866569617,19150.409075888216,31.0,1.0,0.9766179794512821,19150.409075888216,-19108.784583714347,-0.1852249385410687,-0.1852249385410687,5.0,0.0,0.18749998612351063,0.18749998612351063
1004,1,0.026601776247282067,0.022740980592968925,0.06265447788290263,0.38661886235274007,0.4167152414090303,0.1296664729898122,0.02539688155069975,0.24115958903829904,0.019521329981877052,0.002651475449406163,0.1048989742188748,0.06492450526600341,0.05266206550756786,0.09544019995522744,0.017196273754627626,0.10750820177249563,0.018883291908922687,0.03845873217658566,0.003995079714492336,0.02302732904577187,0.00993713284044849,0.028717031313976103,0.06008789339884387,0.003925991042605939,0.011512874401528553,0.024387887485366702,0.00582385022467635,0.05224384060959898,0.0011180299322206,0.043455932839486955,0.038946858301929024,0.014097321797551788,0.03775506615264839,0.03709647399494082,0.02157748854183655,0.0477218210659663,0.018753282362661015,0.06176618664627078,0.03261090606010943,0.03491081659782803,0.0017341516357303086,0.21502206565972454,0.9220826187602572,0.211461150259721,0.3767537982423485,-0.47572810830552514,0.023038117677486737,0.09788003685329674,0.4979392706487442,0.6692935564526633,-0.0009026126341929385,0.13674377571945748,0.6358328363740411,0.19343884035969422,0.31289370619721596,0.6520969448053666,0.07506225687213947,-0.10022341658283657,0.3361980793815286,0.01707398509878258,-0.027879339814256845,-0.058335497743076295,-0.11997867534709089,0.41855277845107713,0.08653867984722627,-0.1128932115832502,0.7909376662460536,1.0133876214845399,-0.4783837002763555,0.19464278566788148,0.9113061078767061,0.2434990979861778,0.494158987380039,0.17950340798657488,0.635521883783039,-0.2158806833782611,0.144613776488189,0.45862040475852744,0.4712398738495621,19148.93282342306,31.0,1.0,0.9148932956747053,19148.93282342306,-19114.99614578196,0.09387624882583623,0.26432782872143434,5.0,0.0,0.18749998612351063,0.18749998612351063
1005,1,0.02665092216763377,0.041970887617925424,0.07751785918912733,0.2848337212567029,0.3961126582316494,0.1468256563897448,0.015791282347151967,0.30266657590382,0.022675974628017195,0.006744952414534733,0.10604446519442529,0.05598087801422958,0.03215602225057672,0.0389267463000738,0.027383425303297505,0.10640827845977686,0.016082562067340902,0.01595231501132813,0.011515548269635476,0.022095117243537448,0.04688586378575871,0.020569904284020273,0.007024686145856629,0.002342825266520558,0.013492329190197964,0.03245783735990514,0.1607275716875477,0.045598480898431326,0.00033318213899865184,0.02252656875757484,0.029986510621832118,0.022794409406022863,0.024796137345251226,0.004869472676082546,0.0235884134629986,0.05401790004323944,0.045988453169508225,0.12942088126075993,0.028250519234646672,0.04470425699782117,0.0023900648642470254,0.18571714589315994,0.9347229939033318,0.12294505422679364,0.41450889929063,-0.47097890041323887,0.022942791580373628,0.10111211203030426,0.45262757278104904,0.5509180670656906,-0.20743696621323915,0.16591407322447013,0.6104273163746211,0.16905496806964762,0.23571616601308698,0.8610394536700565,0.06996489040392644,0.3633074150569623,0.2968597118368836,-0.34586150155326323,-0.050728859607149845,-0.0717107901148236,-0.11311771023435441,0.44207946018453426,0.06874927654344073,-0.10119083389789499,0.7745378632227509,1.01575495823779,-0.3407918643171782,0.1398715940007406,0.23046960763157953,0.2386475404155135,0.5074748497700137,0.2557482534923279,1.054086659387933,-0.2150688703079884,0.2532752892407115,0.4871815616431885,0.4766441142406305,19145.477315293752,31.0,1.0,0.8882584830256728,19145.477315293752,-19108.332427635767,0.14290177886505262,0.2784682399214944,5.0,0.0,0.18749998612351063,0.18749998612351063
1006,1,0.026438563681358815,0.03930882707454616,0.08028314071048612,0.23902661395946015,0.3579311536354804,0.14284141462772282,0.014036105565953048,0.24622127973222807,0.04188824330376339,0.003943036711544585,0.08270022579532946,0.058119458765747055,0.0181319256746741,0.03408862059396398,0.022032138561287256,0.0908505143796123,0.019687483282074078,0.05976322100153057,0.012707292480180876,0.023577067211058917,0.03243297247493228,0.027432365854062286,0.010013858294951408,0.005311128147894013,0.013238568469676009,0.02034227296690581,0.011087765965794652,0.057880102384361344,0.003744299432024321,0.039709924960464583,0.040370421693929716,0.049636129532383305,0.03014661296745927,0.014594710382428641,0.021118338175021425,0.05748681208089437,0.023502710634263232,0.14482239225645785,0.024962855577811815,0.06425140975749895,0.0006648037806232613,0.29998406395649907,0.9494569546296101,0.15758202815958477,0.4298438378515666,-0.28273209862016035,0.026551382646665775,0.15920278822169182,0.5075446156511435,0.4701258771218763,-0.11922857080391505,0.16189457544889285,0.6321401795509333,0.16836812004286436,0.3522162344106845,0.6226997517493853,0.11852229288852864,0.6568159684776053,0.2778360881996183,-0.49353659713481873,-0.05901450444117242,-0.08188703243110852,-0.1332677354187787,0.47298529793011684,0.07570388701744798,-0.08236825258315889,0.5820582220136451,1.0304892843857743,-0.32096397967635143,0.08292148873230878,0.2134741605714604,0.24350517739975658,0.5250145701189841,0.22021027821761371,1.0237720179160572,-0.19696341957168748,0.23737484308653609,0.5536196221381696,0.5351207031786703,19145.359874170284,15.0,1.0,0.9750757168110022,19145.359874170284,-19110.282265278925,-0.07940651863100356,0.1432420661803917,4.0,0.0,0.18749998612351063,0.18749998612351063
1007,1,0.02646426245454683,0.023882058897791648,0.08353902167732467,0.25418316283551606,0.29783284686051187,0.1420885020582527,0.017684306548798445,0.288442172499357,0.048596481887888086,0.005298503739628524,0.05905764672439286,0.058523450344509044,0.024662859329500866,0.040981828729430195,0.018490498061951622,0.09889473331670995,0.013414481928872984,0.02795349200311136,0.011068759761644792,0.025684043868350815,0.029716669723404022,0.032488232855757984,0.006668051412790443,0.0060975478761198885,0.013834414584994318,0.03805989249362248,0.01166608765844345,0.05426566916221191,0.005340550194589282,0.021675054453971995,0.03054753575605699,0.036310016455710144,0.020639293836448205,0.02508329772923486,0.026780146479808465,0.06325543355504419,0.028956504534604847,0.11721742709946271,0.020829027880351528,0.051917067013038234,0.00016017592043781817,0.2418834259926157,0.9510702023030214,0.11212729940634612,0.4421933024566892,-0.36573499213240884,-0.02434673392131121,0.12310314985248999,0.517046060653552,0.37940052713282985,-0.08767891640427765,0.15837676432783543,0.6012431469249442,0.10560446598108997,0.2383152062776088,0.9385069467140319,0.1001390105175479,0.5252475173579116,0.29679261562649356,-0.2453991136290849,-0.06817058171700645,-0.0895291926090849,-0.12031961097358525,0.3567061211084611,0.08617098847793786,-0.0947981910948525,0.590282304040503,1.0373940928314471,-0.433974139394359,0.18172112978850544,0.2923373019222276,0.24177243529465572,0.5213540054045194,0.22418513385475952,1.010548291678694,-0.23591041954805164,0.2692672321102335,0.4691316585713664,0.477713749010383,19147.959692410062,31.0,1.0,0.9216200950352273,19147.959692410062,-19109.89528012001,0.08403677448950475,0.24146989514702,5.0,0.0,0.18749998612351063,0.18749998612351063
1008,1,0.02671442978861614,0.02806971377146324,0.06728913716587773,0.297066473266333,0.4940411932693018,0.17439371983916413,0.020572868377721407,0.22305882161759502,0.04238645162142658,0.004266479339359266,0.10253318270687235,0.0655631828617768,0.05836990560438743,0.07331546774744285,0.01981933540005556,0.12139261939578766,0.010883013555212512,0.0345539813323842,0.011609150272476665,0.015607450214323143,0.045082143021471545,0.02380306676170834,0.028533674527613306,0.0024398001112666563,0.015716290446646276,0.030234329866993575,0.003922635118376077,0.06566884430395607,0.00020147541374528015,0.0185050864620497,0.027015372674034057,0.018523727755933764,0.040153529828746995,0.030919984730422647,0.02119805789235462,0.05231298625310466,0.03448589006611601,0.02767646342457696,0.00771045666511353,0.03404643011692635,0.0010216937585481077,0.2629365720777363,0.9635502508039875,0.2011916137627452,0.39670302197403345,-0.3482685994946685,0.07188393959330729,0.1035909523400751,0.4758172879081754,0.5956593629662232,-0.010727250361142948,0.13663622985908735,0.6607317474632151,0.12574105700179777,0.2308740641253496,0.9951066792886403,0.07036547657802326,0.41007723751543473,0.23267973359210534,-0.2384667653154528,-0.026703648253429767,-0.051435920116491764,-0.10265057626719021,0.6881207524727663,0.08843441911985034,-0.12933087017275702,0.5787470014158684,0.9495929393752769,-0.37471134836757153,0.09742689899800755,1.0283591707720878,0.25109268587435307,0.5104593943399413,0.19770017267727444,0.3630423456852414,-0.09148288483359444,0.14001771127345672,0.4519056748405333,0.517666229774441,19141.712756562385,31.0,1.0,0.9107819414884556,19141.712756562385,-19107.06788863819,0.17864997034484986,0.24593411251044017,5.0,0.0,0.18749998612351063,0.18749998612351063
1009,1,0.026305564785510688,0.03854353817913878,0.05436687181289086,0.36426539201185576,0.3394422998902747,0.14542356916198101,0.018061155762367317,0.24721462144368242,0.038282174879160136,0.008317021879164499,0.06683916269623334,0.06475257936224796,0.032253571594343035,0.08110715670313424,0.014423009941619385,0.12024410438289303,0.025992310444137582,0.031017712636383664,0.03133201950531765,0.01584879748411232,0.04678489195435073,0.017360898953473588,0.03827305605800848,0.003792711843459849,0.013513957805504575,0.022876267495335615,0.023227313241624484,0.06215540273504673,6.213703743140801e-5,0.02468950662982897,0.031427630363708645,0.026479954616865396,0.028858390095284313,0.00527392885522973,0.020334807528072894,0.03990675887905066,0.026688182936037672,0.05222362525405399,0.02763518516989567,0.04722748070424627,0.0009289034034858832,0.16419875783495724,0.9497663027890538,0.16898655563971918,0.4195914559967323,-0.418622095206909,-0.03155253020928088,0.14719700516436154,0.5195548187352929,0.581117181209536,-0.02801760182873755,0.14072824307302015,0.6553003314803386,0.17382942563681897,0.23704256604534035,0.8392340902419997,0.04819254318158792,0.6246326510354568,0.18393317590121083,-0.11300895879246747,0.023045810767149736,-0.07461627021432293,-0.14394017226543127,1.1831299166023292,0.08142441127178142,-0.11255831235693835,0.6229322636055832,0.9867009560898545,-0.5407956725801297,0.12279908947086908,0.9280587124395655,0.2477839175552185,0.5249014682917966,0.19512809692569322,0.6266747643144519,-0.2605685849822223,0.17828619619696234,0.5406741672843858,0.5283356034597103,19141.212248230302,15.0,1.0,0.8839432930639411,19141.212248230302,-19090.96008699363,-0.09095812186933472,0.3370367695497407,4.0,0.0,0.18749998612351063,0.18749998612351063
1010,1,0.026830861037464546,0.014906396850301937,0.09749728894977845,0.2478156332843913,0.5792657957763084,0.17101228773459348,0.03141018047823586,0.2808433171323258,0.05869195856821443,0.0038918655352247035,0.08715606240997206,0.03914383046547285,0.05284696622235128,0.05212014803525345,0.0167514338921895,0.10064002991473824,0.01503135109591662,0.02588361099146239,0.062259483578649216,0.0231938767349169,0.038465745705500626,0.057261107897770495,0.018443056374612393,0.0020281509944976286,0.015745938522210318,0.03923070469760872,0.06270198875853202,0.043271254226247065,0.00719057851631414,0.045907898612700566,0.03798289194445102,0.01972958323006599,0.02361395067180658,0.030147596108071044,0.02928627978039465,0.060340751289718296,0.02382902234302975,0.12755965993989535,0.006897969471649118,0.05307554631701519,0.00041982532884686085,0.22014178645126545,0.9569762638703931,0.24411351798090924,0.3934748590454426,-0.2782090751083641,0.06512783718207478,0.10054714213591309,0.45962564394011945,0.6320374533846249,-0.10523689464845509,0.1471259443707304,0.6276625424477912,0.19460197157772285,0.24760803176271293,1.2587807815630587,0.10565865854266203,0.007745754429522456,0.39659691664669516,-0.2821494745751539,-0.16184055244928486,-0.06897547544542809,-0.08807673830165498,1.4395656638454761,0.07681011324900362,-0.10609856587758443,0.9521607201724871,1.0758469951677965,-0.36516168422029893,0.14304206111618362,0.6847719765571035,0.24583817059950677,0.4799999430308032,0.20016959421333283,1.0926300961865882,-0.1564132286924431,0.251080255742657,0.46240026935074874,0.5737959493002147,19138.59912855289,31.0,1.0,0.9388813061868669,19138.59912855289,-19100.182412472554,0.16987169718413497,0.2174503438618558,5.0,0.0,0.18749998612351063,0.18749998612351063
