region,norm_mean_SUVR,norm_mean_TauZ,path_95CI_SUVR,path_95CI_TauZ
CC_Central,0.8332032263487521,-3.120407256768967e-16,1.53738640766,4.969620656679673
CC_Mid_Posterior,1.2811291375334044,-1.0677038449586612e-15,1.05270491035,-1.461874642592116
CC_Posterior,1.3976242933969374,6.106226635438361e-16,1.17548316464,-1.0889613871588186
ctx_lh_bankssts,1.1998637970373631,-4.476500626209108e-17,3.65769394634,22.45428130575806
ctx_lh_caudalanteriorcingulate,1.086086030964644,-7.56791079507799e-16,2.13625158929,9.339080355590855
ctx_lh_caudalmiddlefrontal,1.0697477506660722,1.7140285292458557e-15,3.11306813236,20.310260492711663
ctx_lh_cuneus,1.103648683194279,1.2399230603128185e-15,2.93327208459,20.913869216940054
ctx_lh_entorhinal,1.1087200233214347,-1.1892346772918694e-15,2.27460756335,12.688809794901777
ctx_lh_frontalpole,1.0072061582094538,-3.2857467549600007e-16,2.321080031,9.605605333192107
ctx_lh_fusiform,1.190927587884463,1.6240976817373718e-15,2.8671822403,19.53471636708049
ctx_lh_inferiorparietal,1.1311423041679989,-5.217271836000735e-16,3.3757528383599995,24.636244231145103
ctx_lh_inferiortemporal,1.2047630542859347,3.952232871217002e-16,3.05663865608,19.869516485510626
ctx_lh_insula,1.1297622183162417,-4.942582837661784e-16,1.99647336741,8.469688175310766
ctx_lh_isthmuscingulate,1.1091962462321403,-2.0031685036400563e-15,2.84324489445,17.867097960189955
ctx_lh_lateraloccipital,1.1197770350415774,2.3094563459158184e-16,3.06703911129,21.127318772972217
ctx_lh_lateralorbitofrontal,1.1957925202195014,6.825233558868505e-16,2.60171989916,12.932203944027211
ctx_lh_lingual,1.0986098390563361,-7.463684199160716e-18,2.7526836826,19.876065324687932
ctx_lh_medialorbitofrontal,1.138989105122018,-6.935576504431257e-16,2.3207107439200003,10.451407066098966
ctx_lh_middletemporal,1.1612486144339804,1.3138989761014018e-15,2.88158374036,19.78992155319961
ctx_lh_paracentral,1.054164401277331,5.502751099787804e-16,2.25326598991,11.377732795644604
ctx_lh_parahippocampal,1.1060292129955434,-3.429599838446028e-16,2.10347497587,10.703422791644108
ctx_lh_parsopercularis,1.0935002296408145,8.696747026230393e-16,2.71801975766,16.676879225386436
ctx_lh_parsorbitalis,1.1454980044636764,-4.86197375397918e-17,2.81354194355,13.764985600574153
ctx_lh_parstriangularis,1.1218035728544433,1.237581942164739e-15,2.702352267,15.784208319023842
ctx_lh_pericalcarine,1.126616270506483,-9.218215416584633e-16,2.54695185185,13.904749949077804
ctx_lh_postcentral,0.9825651151172066,-5.336091691479013e-16,2.4579664128,17.94477083037851
ctx_lh_posteriorcingulate,1.1214740542018466,-1.5893719089370662e-15,2.69192392791,15.917163926989039
ctx_lh_precentral,1.0126703681666884,5.755174806779627e-16,2.11634993567,13.722217337362297
ctx_lh_precuneus,1.1332386248403818,-5.126001978291511e-16,3.2759877200300003,22.67180578361529
ctx_lh_rostralanteriorcingulate,1.10326444211731,-1.2502218224517893e-16,2.31391934765,10.502239642323206
ctx_lh_rostralmiddlefrontal,1.0826019383179046,-6.932124251318051e-16,2.9360409773,18.554304071429492
ctx_lh_superiorfrontal,1.0337311685253792,0.0,2.33936290426,13.561821427722284
ctx_lh_superiorparietal,1.052305969641903,7.74011694727778e-17,3.1304863073400004,22.065978324123122
ctx_lh_superiortemporal,1.0811930464039226,-8.41949864078967e-16,2.38011614761,14.72893898850316
ctx_lh_supramarginal,1.0837257892082628,6.062651329011094e-17,2.94193681255,21.8015003257677
ctx_lh_temporalpole,1.1162472886622772,-5.087026514679701e-16,2.1063933955,9.843198201156836
ctx_lh_transversetemporal,1.0216478550489076,-2.5009004172442935e-15,2.47212667062,13.804932550507665
ctx_rh_bankssts,1.1986000181969785,-4.516503201199275e-16,3.4918627796599995,21.680929645442156
ctx_rh_caudalanteriorcingulate,1.0856204907401221,-2.014025990360641e-15,2.13534870891,9.5239509710517
ctx_rh_caudalmiddlefrontal,1.064541418280479,-8.566284865999055e-16,3.02794117625,19.349915449090584
ctx_rh_cuneus,1.103796161370067,-1.2275636695042381e-16,3.3269608909400006,23.646808919269567
ctx_rh_entorhinal,1.1159588594828576,-2.5307001547620006e-16,2.24450811551,11.878244223850187
ctx_rh_frontalpole,1.039148260765795,7.350442094070002e-16,2.36602794069,9.32298274062195
ctx_rh_fusiform,1.183617709360467,6.080439059071762e-16,2.7836655690900005,19.933370733499647
ctx_rh_inferiorparietal,1.142042769499976,9.560324152758475e-16,3.26880969378,22.286616188382137
ctx_rh_inferiortemporal,1.200829160463966,7.397902575710486e-16,2.9386708035000004,19.44375555965503
ctx_rh_insula,1.1212851445966512,-9.149252256931716e-16,2.09362817367,9.589370542081602
ctx_rh_isthmuscingulate,1.1218093393176305,-3.0235861096174475e-16,2.89465433876,17.386860491329095
ctx_rh_lateraloccipital,1.1259531612132918,4.574309457683048e-16,3.08379020325,21.471052484189414
ctx_rh_lateralorbitofrontal,1.2053383318369182,1.645848989974926e-15,2.39052553248,10.917003469853718
ctx_rh_lingual,1.1008098537540785,2.933433312771056e-16,2.69721070624,18.171520958439395
ctx_rh_medialorbitofrontal,1.1352349887036555,-4.141199993693835e-16,2.22049974065,10.192252024333998
ctx_rh_middletemporal,1.1717620043301018,9.976222060138847e-16,2.92313327396,20.147733193964047
ctx_rh_paracentral,1.0568557396752525,1.9409947903690543e-15,2.44259130912,13.598217260899998
ctx_rh_parahippocampal,1.0996452280403914,8.859635109228182e-16,2.11536307115,11.67071147208859
