region,one_comp_C0mean,one_comp_C0cov,two_comp_C0mean,two_comp_C0cov,two_comp_C1mean,two_comp_C1cov
4th_Ventricle,0.9170506879448358,0.01275519780130423,0.9066368166771095,0.008241763004546997,0.9386830218240012,0.021437547940535446
CC_Central,0.8424286306034493,0.02407461837248849,0.830429721914124,0.019806225691573965,0.9902413640539288,0.05303410375691493
CC_Mid_Posterior,0.823065528969156,0.03063595353747803,1.0412286774760828,0.06169060925466692,0.7986514041301401,0.021238388220813385
CC_Posterior,0.9770151792645775,0.022223655560574998,1.132833841907119,0.06284350892123565,0.9621400710754253,0.01580682434827489
Left_Accumbens_area,1.3945003395420241,0.05727927638578797,1.3175886990432113,0.02036551192794639,1.5698145151517324,0.09720260546707409
Left_Amygdala,1.4038141089427443,0.11126551833035109,1.2313523131665711,0.017186963448393232,1.7493811994154156,0.1207599241612217
Left_Caudate,1.1350217022946478,0.0362789087189923,1.207074246872056,0.05437840391133536,1.0916499047336055,0.020377814576589805
Left_Cerebellum_Cortex,1.0291236320142922,0.0009677769636532058,1.021966116065008,0.0003953281789770379,1.0677472612115517,0.0022886104465472757
Left_Cerebral_White_Matter,1.2607583450182733,0.051648385495553076,1.1781457191017197,0.009888310108971217,1.5360758996793413,0.09227492436508886
Left_Hippocampus,1.3313093135689902,0.047724867331314605,1.238496024442787,0.01750682226018018,1.5077012106880041,0.05766872698128394
Left_Inf_Lat_Vent,1.3036267594499251,0.0508161740741726,1.2633386284972559,0.027970972618973675,1.4533638816273051,0.10727009376313833
Left_Lateral_Ventricle,0.6447654938174655,0.0268601697380289,0.7658825477948333,0.02466161743384589,0.5702157138249953,0.013626499795940387
Left_Pallidum,1.613152646042977,0.055289910288104316,1.5637370575360572,0.028146822820391836,1.724831259361506,0.0986421721455713
Left_Putamen,1.546347391659198,0.05121170597532514,1.4954585907798423,0.025131787080256516,1.6506979395156407,0.08849083764194099
Left_Thalamus_Proper,1.242281947505618,0.018516347366604406,1.2167056721440868,0.011459558139961707,1.28749405381423,0.027790396884437844
Left_VentralDC,1.305031182037316,0.019796447216041888,1.280263432680038,0.010473272026280116,1.3460224324043226,0.03253099386653834
Left_choroid_plexus,1.210280663484844,0.11845809404669473,1.1196257019249853,0.04591614664685386,1.6510544403548137,0.2369246749974979
Left_vessel,1.479586548739739,0.039681155736889066,1.430922666081393,0.023534953545587888,1.5739462497931542,0.05749312270865178
Right_Accumbens_area,1.3681843458261518,0.05078373598299376,1.2958721273807414,0.01816044040797185,1.5294254496827913,0.08586845780443972
Right_Amygdala,1.3884861229549874,0.10296107425708469,1.2239909747798206,0.01594956579924445,1.7123265680920767,0.11611720511167875
Right_Caudate,1.156698045404705,0.034738043906637185,1.113892070147389,0.01894354867716526,1.2489152751837127,0.0563127761255356
Right_Cerebellum_Cortex,1.023532604478154,0.0006480899714676597,1.0170503411198255,0.0003026934990700011,1.038644269881136,0.0011269693543960306
Right_Cerebral_White_Matter,1.261715312201477,0.05128520105708368,1.1822390328219679,0.009630498621928467,1.5409031375364566,0.09747704955083196
Right_Hippocampus,1.3206815368746574,0.043707340466021705,1.241608180738631,0.01829886716780602,1.53749277902851,0.04922372835085884
Right_Inf_Lat_Vent,1.2572999811105185,0.04425564480543342,1.226672663357583,0.02556833848767266,1.354743986362057,0.09123147589863727
Right_Lateral_Ventricle,0.6644325868916027,0.02844129062397462,0.769430677382111,0.029370838088914726,0.5920474386382091,0.01496055330678055
Right_Pallidum,1.6143704618202999,0.05257804004367573,1.5612392892432443,0.026507846910300354,1.7214166413257752,0.08795666145887815
Right_Putamen,1.544441915087128,0.050783190181048446,1.5032996966145453,0.02883893464028223,1.689963398687832,0.10123722022391089
Right_Thalamus_Proper,1.243214556602621,0.018114472623210354,1.208030434464369,0.011365724240587453,1.2976795625013668,0.02367879192212169
Right_VentralDC,1.3012418456405472,0.019018608540728482,1.274525040456983,0.008701221000421755,1.3372276013947362,0.03065904280148617
Right_choroid_plexus,1.2369975733593115,0.11467597739130012,1.1455331370512012,0.043909352430859486,1.6618830454829572,0.22402303604772347
Right_vessel,1.4688437623946102,0.04080489357458002,1.4096599516346988,0.02013990111389191,1.58172506540583,0.06079630669438617
Unknown,0.11278143713159244,0.0006379561213563132,0.09958231807281731,0.00024401329868834712,0.1329347737949977,0.0005672922630136786
ctx_lh_bankssts,1.4371496635908025,0.30578000811560024,1.1990731821494642,0.011789624031604847,2.169981168019587,0.4992100825581852
ctx_lh_caudalanteriorcingulate,1.1327007099550752,0.039778066369099765,1.0852083883432997,0.012796870327067939,1.4551898624421225,0.10367462938857393
ctx_lh_caudalmiddlefrontal,1.237439550556698,0.19001837988779552,1.0696619803683043,0.010119966784931052,1.8791518838753787,0.35863061876656377
ctx_lh_cuneus,1.2011848962153828,0.10089664857143178,1.10449976352589,0.00793771201314281,1.6985264979586476,0.2836367488513507
ctx_lh_entorhinal,1.309770908167837,0.10977681815527768,1.111348238001594,0.009053466534655993,1.5814301056536157,0.11997444606504362
ctx_lh_frontalpole,1.0536769995901105,0.05332361232577671,1.0063013344433838,0.01868277102965492,1.4976426868296304,0.15981032516143825
ctx_lh_fusiform,1.3835342648307105,0.1666869106709962,1.190565822773083,0.007343784627898298,1.885712299045125,0.2322716611675417
ctx_lh_inferiorparietal,1.3641652629383791,0.2747084796161322,1.1305837195021073,0.008197052911268057,2.0409921179309056,0.43076424871620095
ctx_lh_inferiortemporal,1.4396355428440606,0.22874177419634112,1.2041887441090586,0.008560530054660162,2.0227047927378172,0.29675529579539695
