region,C0_mean,C1_mean,C0_cov,C1_cov
Brain_Stem,,,,
CC_Anterior,,,,
CC_Central,0.830429721914124,0.9902413640539288,0.019806225691573965,0.05303410375691493
CC_Mid_Anterior,,,,
CC_Mid_Posterior,1.0412286774760828,0.7986514041301401,0.06169060925466692,0.021238388220813385
CC_Posterior,1.132833841907119,0.9621400710754253,0.06284350892123565,0.01580682434827489
ctx_lh_bankssts,1.1990731821494642,2.169981168019587,0.011789624031604847,0.4992100825581852
ctx_lh_caudalanteriorcingulate,1.0852083883432997,1.4551898624421225,0.012796870327067939,0.10367462938857393
ctx_lh_caudalmiddlefrontal,1.0696619803683043,1.8791518838753787,0.010119966784931052,0.35863061876656377
ctx_lh_cuneus,1.10449976352589,1.6985264979586476,0.00793771201314281,0.2836367488513507
ctx_lh_entorhinal,1.111348238001594,1.5814301056536157,0.009053466534655993,0.11997444606504362
ctx_lh_frontalpole,1.0063013344433838,1.4976426868296304,0.01868277102965492,0.15981032516143825
ctx_lh_fusiform,1.190565822773083,1.885712299045125,0.007343784627898298,0.2322716611675417
ctx_lh_inferiorparietal,1.1305837195021073,2.0409921179309056,0.008197052911268057,0.43076424871620095
ctx_lh_inferiortemporal,1.2041887441090586,2.0227047927378172,0.008560530054660162,0.29675529579539695
ctx_lh_insula,1.1288778417235603,1.489158600708898,0.010652104352212631,0.07376086823556986
ctx_lh_isthmuscingulate,1.1109635384361192,1.810633607184174,0.009838016263118346,0.29306427915483285
ctx_lh_lateraloccipital,1.1196827106590206,1.8493157469493595,0.008526986287612143,0.3158827212587653
ctx_lh_lateralorbitofrontal,1.1951791375898635,1.6754150033990907,0.01202099218156505,0.15456957471132876
ctx_lh_lingual,1.099114809799136,1.606242490875486,0.007007627639416174,0.2020930811621211
ctx_lh_medialorbitofrontal,1.1378349669702994,1.5273093809169138,0.012907310029477917,0.12756670408045473
ctx_lh_middletemporal,1.1618950845546165,1.9009215410362725,0.007705131148617856,0.2783839462364682
ctx_lh_paracentral,1.0529862658306326,1.4193398421426777,0.010995769773515402,0.10982458477755162
ctx_lh_parahippocampal,1.1078207317803481,1.526130076551351,0.009117537876050076,0.09452386939889466
ctx_lh_parsopercularis,1.0926022116246061,1.7157386885512917,0.009264352400470556,0.21107750449864762
ctx_lh_parsorbitalis,1.1458258304796785,1.6779874071328844,0.014660374506518132,0.22479018585694374
ctx_lh_parstriangularis,1.1204020933973946,1.6476058680318042,0.00987831140367705,0.19926423593538167
ctx_lh_pericalcarine,1.1241253409910286,1.6304012753345627,0.009901246705256907,0.2062535019951992
ctx_lh_postcentral,0.9819552983393804,1.4310171343372442,0.006687641673094481,0.16581472943653705
ctx_lh_posteriorcingulate,1.1220819858446323,1.7175613295649383,0.009813631237526427,0.21508621840921466
ctx_lh_precentral,1.0131361866506583,1.4007295339794856,0.006553107001230395,0.11480557160549608
ctx_lh_precuneus,1.132509842063132,1.9748902728701403,0.008759109851238213,0.4277806513909091
ctx_lh_rostralanteriorcingulate,1.1030669801065824,1.513526330454233,0.01356766611510011,0.1552564020132717
ctx_lh_rostralmiddlefrontal,1.0834819652242367,1.7317914514482604,0.010280964850368864,0.27012030794506336
ctx_lh_superiorfrontal,1.0346045609862242,1.5074826148553693,0.009525292618790858,0.14482151639932075
ctx_lh_superiorparietal,1.051863110720899,1.8462285805155343,0.008742263112753803,0.38143383828487143
ctx_lh_superiortemporal,1.0799086266966966,1.5845236661723745,0.007666341005422493,0.14042537855945517
ctx_lh_supramarginal,1.083096695011458,1.7895317193456657,0.007232093900326574,0.31635285663335433
ctx_lh_temporalpole,1.117067211992681,1.5039427854568488,0.01059267056846761,0.0891469047567619
ctx_lh_transversetemporal,1.021798381821696,1.4817085018233043,0.011050121417238401,0.16187654604035454
ctx_rh_bankssts,1.199796551966693,2.1447993974000785,0.011503288009596867,0.4740422963516677
ctx_rh_caudalanteriorcingulate,1.0832534767128026,1.461109540225321,0.011882583432663707,0.10361552211297119
ctx_rh_caudalmiddlefrontal,1.0642012056500123,1.8997393240315559,0.010130596479791006,0.36649708608646475
ctx_rh_cuneus,1.102772831816996,1.7858938454392936,0.0086414362880742,0.35235961980141767
ctx_rh_entorhinal,1.1182708887844928,1.6010588274221869,0.009832708827325844,0.11132139861051052
ctx_rh_frontalpole,1.0362653031647062,1.5239073286783085,0.01955986488537565,0.15465990318176567
ctx_rh_fusiform,1.1851895692429304,1.7958175783294834,0.006826592494553206,0.2276650528248859
ctx_rh_inferiorparietal,1.1409574135227334,2.057853867183771,0.008804436626745103,0.42796685634927895
ctx_rh_inferiortemporal,1.2006187518435079,1.938893026759651,0.007921161733935414,0.286934368073795
ctx_rh_insula,1.1209138181688514,1.4794794421761748,0.010507485702552999,0.0814235714954407
ctx_rh_isthmuscingulate,1.122208156270479,1.8325907248914757,0.010624380222180893,0.30736422240177624
ctx_rh_lateraloccipital,1.1255240911898885,1.9133165104090188,0.008314068384566584,0.35161476224329813
ctx_rh_lateralorbitofrontal,1.2040428623130885,1.6422764825559317,0.011801943269935201,0.13129654915539346
ctx_rh_lingual,1.0994424458114915,1.6809311767885073,0.007467625433405411,0.21730619667684992
ctx_rh_medialorbitofrontal,1.1344056501211985,1.4974185988297806,0.011444159969565904,0.12397410599094731
ctx_rh_middletemporal,1.173099176506147,1.9221827744149957,0.007666911642865161,0.2765464348111766
ctx_rh_paracentral,1.0564398362989686,1.479162915961571,0.010376049240288208,0.1374546243003884
ctx_rh_parahippocampal,1.1008975791861082,1.5152897885836774,0.007896783210107877,0.09519848216685924
