,region,C0_mean,C1_mean,C0_cov,C1_cov,cutoff
0,1.0,1.165344333268514,2.1096666421240644,0.02014434484175638,0.5670567901175241,1.5983443332684664
1,2.0,1.233742267544614,2.2327012994234683,0.02068512295455776,0.804302080908144,1.6927422675445634
2,3.0,1.2633789418323673,2.1119267626915064,0.029419244795366988,1.079322738916749,1.8073789418323074
3,4.0,1.1113999146478175,1.8497272561979095,0.019021427216598594,0.47884355110239907,1.5223999146477722
4,5.0,1.1729014972065148,1.936555042657534,0.01668977557622762,0.5576963280827623,1.5639014972064718
5,6.0,1.1513211960760132,2.03947087069514,0.013376648086903515,0.7277320098668466,1.499321196075975
6,7.0,1.1720214020916278,2.4610243542072685,0.016960966704008,1.4733725441977479,1.5850214020915823
7,8.0,1.1486191604441902,1.8942335389630032,0.013867471194943786,0.44304030151922447,1.4916191604441524
8,9.0,1.1421571648627515,2.2673028875271117,0.015602744604945375,1.172766051683769,1.5121571648627108
9,10.0,1.0570263399361122,1.5431971951857864,0.009615714370874884,0.1835870815227276,1.3360263399360814
10,11.0,1.0830491186190938,1.8608966889196485,0.013286176777656153,0.6698977243504364,1.472049118619051
11,12.0,1.0352928704528315,1.578365645411051,0.012874490673831661,0.3499686283370712,1.3832928704527931
12,13.0,1.0440043484264843,1.5027892446928737,0.015328292312994568,0.30271184436814774,1.4080043484264442
13,14.0,1.082459637576443,2.0102754085162857,0.016091177745643705,0.7705956185834166,1.4494596375764026
14,15.0,1.0845411885684288,2.0588125279535183,0.015299713694622154,0.8871015678261795,1.4305411885683907
15,16.0,1.062591282248321,1.6580174397705234,0.009795673579506158,0.4507686597190919,1.3695912822482872
16,17.0,1.159907370564149,2.0745938976966984,0.011839463417476924,0.7886756647462478,1.476907370564114
17,18.0,1.141738370674656,2.3068875812257024,0.016066378854929286,1.5830686982149142,1.5257383706746137
18,19.0,1.1921251197820888,2.395955088117756,0.017943757586232182,1.3326659135826053,1.5741251197820467
19,20.0,1.1142928111437589,2.1605693474602696,0.013387120943885814,1.2453228625372865,1.4562928111437212
20,21.0,1.0517197235868636,2.751624247874778,0.022794433321361118,2.2671204413601753,1.5637197235868072
21,22.0,0.938833969896977,2.1568083230040656,0.028438300204019714,0.8749222390229532,1.5138339698969774
22,23.0,1.1950463654633192,2.6327454910610335,0.019018075130674054,1.8385095149324249,1.615046365463273
23,24.0,1.0782042633309838,2.0839991725242615,0.015229400216189326,1.0416135532594777,1.4592042633309419
24,25.0,1.1908485088183287,2.145493210116647,0.013988290273767145,0.6754384822736106,1.505848508818294
25,26.0,1.13705510862279,1.781913764719208,0.021619310290239602,0.28363515653735805,1.4720551086227531
26,27.0,1.1984795433342512,1.931817999584346,0.029272980855371666,0.31095668382019653,1.545479543334213
27,28.0,1.129005069103948,1.6797064473994656,0.01949778992140395,0.2570245397816785,1.4630050691039111
28,29.0,1.3068008344363629,2.3111898763859826,0.015843043866161304,0.7954181947570246,1.641800834436326
29,30.0,1.2220972957261105,2.208793894589748,0.015203466328066314,0.7701725362279674,1.5570972957260736
30,31.0,1.1219714896744992,2.6198610266335844,0.026051110021952314,1.636271355136741,1.5939714896744472
31,32.0,1.1390565144695588,1.7258417684999037,0.011644610866714759,0.2812057301117125,1.4290565144695269
32,33.0,0.8815522660985078,0.9157984114090916,0.0788809416679816,0.01294618046386499,0.8815522660985078
33,34.0,1.1036601760116804,1.5546845180403386,0.010487402557236862,0.1810451318446368,1.3786601760116501
34,35.0,1.1755647942184386,1.5603465880721266,0.018115393980732804,0.07232724961586796,1.4315647942184104
35,36.0,1.2168489542124752,2.0116547886753837,0.02343142220302713,0.24865026507367557,1.5678489542124365
36,37.0,1.1610722554714379,2.1004308942449295,0.018673431556883776,0.797020736257319,1.5790722554713919
37,38.0,1.232373699808071,2.26053013026956,0.024238121498979942,1.2157854589003962,1.7303736998080161
38,39.0,1.2326771391251161,2.1187495279850372,0.03187479983561359,1.3677342695274577,1.796677139125054
39,40.0,1.127405288857929,1.8937470542140278,0.020022320270409476,0.48187349731642326,1.5484052888578825
40,41.0,1.1700395747655148,2.1502897042733413,0.01590178637555578,0.9399338602270133,1.567039574765471
41,42.0,1.1526086578230799,2.204591260602907,0.013377210180738053,1.0001784581741298,1.5116086578230403
42,43.0,1.1620917156182964,2.42750825966218,0.015846553050051306,1.7901856290974003,1.5630917156182522
