,region,C0_mean,C1_mean,C0_cov,C1_cov
0,1.0,1.0508810809043623,1.3389704964406266,0.004311787670695578,0.0506510854579489
1,2.0,1.014908909771009,1.252458117682877,0.006465365339940299,0.08037476539332873
2,3.0,0.9026055855655725,1.1012549162913445,0.009211873715685687,0.0967628489620975
3,4.0,0.9723185447517902,1.1363798733253934,0.004092384270977766,0.050519292381857914
4,5.0,0.9778953185564893,1.1433548311091377,0.0045508171642196435,0.046325395459774786
5,6.0,0.9589430090800473,1.2591889964565532,0.004415646812288972,0.056346145439984854
6,7.0,0.9500258876445461,1.4158338464601687,0.005913952395335097,0.11911980447031179
7,8.0,0.894983335621388,1.07087180688504,0.004008725699505598,0.035887708465590286
8,9.0,0.9195458840987644,1.2682686283624172,0.0050625296980743644,0.06853281129086818
9,10.0,0.869788758735306,0.9698139433459109,0.003025800952307671,0.015383945746732337
10,11.0,0.8910416078399818,0.9745174680335444,0.003996120749804621,0.017540854001000063
11,12.0,0.9267606402834533,0.9982575132386274,0.0038815500250773943,0.03694654593643634
12,13.0,0.913851209506608,0.950909135493576,0.0038215145053166013,0.016666644020257467
13,14.0,0.9726633440764414,1.2267371084091379,0.005680086841848484,0.043770988604271414
14,15.0,0.9721726239967754,1.30216613553358,0.004856267335496513,0.05351560942212355
15,16.0,0.8474246899577985,0.9546846494687582,0.003771914053096067,0.021496963174236876
16,17.0,0.9619631855596545,1.2962335531750881,0.0055735417371169885,0.05235707219669877
17,18.0,0.9173768901672333,1.266093975479487,0.006573454084018758,0.07978837752119108
18,19.0,1.014081485469505,1.4540603947243078,0.008334403438284777,0.0923305780956901
19,20.0,0.9853585064330687,1.3318147971216223,0.005543018600814572,0.0718303611816739
20,21.0,0.9612926890767224,1.5197371722622828,0.0071386353060066896,0.11398414953457388
21,22.0,0.9636771064113626,1.0890309452156326,0.004889574708163666,0.03259732892021749
22,23.0,0.9949346894870631,1.4882564129927927,0.009337359763852684,0.12094498394256718
23,24.0,0.9570513831111553,1.2519479551535078,0.005726862295615134,0.06313338576950181
24,25.0,1.045356875092654,1.3806271610117227,0.005291316248774621,0.061157700873858245
25,26.0,0.9716077602726542,1.21568758610686,0.005754991916266069,0.027275934279756726
26,27.0,1.006223521582552,1.3594662221986258,0.010118857904222792,0.028398803626970635
27,28.0,0.9757524746459912,1.2411581296548657,0.008274593959977166,0.03187824494382798
28,29.0,1.0755057585659389,1.4897222498370273,0.007195113619889102,0.08307840513131634
29,30.0,1.0456657799477136,1.4480271867427768,0.00720985027218727,0.07569182194120695
30,31.0,1.051309672539467,1.4874574062994141,0.005307332959732036,0.1038346102463371
31,32.0,0.9506559295628643,1.1547256982698932,0.004471748010303051,0.02770123353775764
32,33.0,0.8323853142246282,0.8929378337141362,0.004334914110492923,0.0065339753873070545
33,34.0,0.9610123843339904,1.0570046251266132,0.0030636297652546253,0.016179606524986425
34,35.0,1.0514077901926164,1.2248765858962734,0.007394207753283263,0.018804645068670165
35,36.0,1.0550825200383231,1.4204940859624213,0.007075933793398223,0.030016911250131527
36,37.0,1.0399087783379621,1.3569217268766547,0.004636158739764201,0.062443426370806784
37,38.0,1.0070583672224565,1.2973970699153392,0.0074589762394089,0.08694306987965299
38,39.0,0.8761200519260509,1.0899936306572637,0.00989943215162861,0.10635182807500142
