,region,C0_mean,C1_mean,C0_cov,C1_cov,cutoff
0,1.0,1.0112169932774677,1.7827680793174379,0.019440700890232365,0.273888379279253,1.4322169932774214
1,2.0,1.0691561506990621,1.783989634857849,0.02203991699404871,0.5178261887349076,1.5311561506990112
2,3.0,1.0934681811317184,1.7869841038477365,0.027470018991122665,0.714341218985402,1.62346818113166
3,4.0,0.9665039577899709,1.4978536091192234,0.019920925230978437,0.3074689282902291,1.3805039577899714
4,5.0,1.0227788508827038,1.8677651234230774,0.020129691352854476,0.28328597089818913,1.475778850882654
5,6.0,1.0090709811152285,1.849938975750666,0.017880897111074864,0.38380498169872174,1.4170709811151836
6,7.0,1.020640479250106,2.0938661400798724,0.01806877742910141,0.8072887582934302,1.4426404792500596
7,8.0,0.9988038563645024,1.5918144487627632,0.013979738253634822,0.22270007947927106,1.3378038563645027
8,9.0,0.996569341463049,1.861533181611837,0.017267655525855335,0.5659049242567824,1.3715693414630494
9,10.0,0.9076709413148101,1.1328716051165277,0.009995926477381168,0.07138972205376315,1.1416709413148103
10,11.0,0.9393035756538952,1.4952890999276467,0.016393455217381274,0.44518045623086056,1.3703035756538955
11,12.0,0.8987911023697097,1.1350799900144946,0.014496252279277866,0.16618823993066895,1.23979110236971
12,13.0,0.8999174650226393,1.0312082343608835,0.015356149107824357,0.08829116304791745,1.1859174650226394
13,14.0,0.9496736929636332,1.7033737247021126,0.020805687439398823,0.3916621550655913,1.3546736929636336
14,15.0,0.9540163131752435,1.7561753098916895,0.019164749294657838,0.4543117655587841,1.3300163131752438
15,16.0,0.9275071343740602,1.5697019374818932,0.015492709583237422,0.28630696423338764,1.3305071343740607
16,17.0,1.017864339190796,1.7508451966499812,0.01750912621875277,0.36236155556305116,1.3878643391907552
17,18.0,1.0017430292267344,2.0026666415574983,0.021149792644362175,0.7728102980214434,1.4347430292266867
18,19.0,1.0513634764854434,2.0511196936160063,0.023735637516054408,0.6502239916413652,1.4783634764853963
19,20.0,0.9832221604677635,1.9081493308923025,0.0208439786613486,0.6430268447059656,1.403222160467764
20,21.0,0.9158605301485211,2.350483435322926,0.028017613703765522,1.0122860756273824,1.4738605301485217
21,22.0,0.81373273516954,1.182757458843929,0.031301227400471185,0.29260255279425024,1.3167327351695404
22,23.0,1.0440035757642563,2.1601189876745313,0.02455816659722909,0.8596455915306279,1.500003575764206
23,24.0,0.9422313334398253,1.8376674344928714,0.020412009638306416,0.5042869946859391,1.3792313334398258
24,25.0,1.036804677020984,1.7167579381761922,0.013655488863674113,0.31652468857827787,1.3258046770209522
25,26.0,0.998381013108992,1.5259435969880484,0.023056535804023764,0.15005188776348832,1.3313810131089923
26,27.0,1.060074808883696,1.6949626609918433,0.03237620192801483,0.18118503352502707,1.4170748088836567
27,28.0,0.9780824048034075,1.4208516600068215,0.019495783462257887,0.13070275819089075,1.2930824048034077
28,29.0,1.1432115065911057,1.9317143800468188,0.017856930212452955,0.3795124552719654,1.4822115065910684
29,30.0,1.0719787007211745,1.8678716960611932,0.0199929658946869,0.3837779639932724,1.438978700721134
30,31.0,0.9811540124768199,2.144342635936024,0.024730364809120418,0.7791973799529035,1.4291540124768203
31,32.0,0.9946622495875962,1.4617960626561377,0.015043287830200716,0.14063589064655335,1.3106622495875966
32,33.0,0.7497514559304125,0.8018451383855763,0.062303418702579355,0.017348861964890914,0.7497514559304125
33,34.0,0.9539839112560096,1.1872065105312208,0.01067675969367528,0.0759942571278503,1.1939839112560098
34,35.0,1.0142701726734298,1.2920407183715186,0.013165745640745592,0.044685362927089724,1.2162701726734075
35,36.0,1.0516445527980502,1.680190932916097,0.014891542781609604,0.1278952964071041,1.3306445527980195
36,37.0,1.0118597211010716,1.8803836751146654,0.020612119915636763,0.4528382441337121,1.4588597211010224
37,38.0,1.0711628653395062,2.1510846484753956,0.027482706725234368,0.7081138460148613,1.6201628653394458
38,39.0,1.0683779703320286,2.0833045035131406,0.03221623737445644,1.0050050443630134,1.6623779703319632
39,40.0,0.9783233666078868,1.5015387482979448,0.0210433446645662,0.2751653913361105,1.391323366607887
40,41.0,1.018624688067693,1.9254056189359388,0.02016579004297341,0.5396678967513289,1.4676246880676436
41,42.0,1.002824848939915,1.8637887086319818,0.01644191249893085,0.5296016884669198,1.3918248489398721
42,43.0,1.0149878710300821,2.1581245364918646,0.019723593951726202,1.0283774528336866,1.4629878710300328
43,44.0,0.9914233756531731,1.5859818624264455,0.013782835838274889,0.3245687488335514,1.3264233756531734
44,45.0,1.0122165649386183,2.049472731775071,0.02038651950573551,0.7837659807737587,1.4342165649385719
45,46.0,0.9223512513331351,1.4690278334087912,0.013512509157551289,0.21367147326405764,1.2713512513331353
46,47.0,0.9296979188704481,0.9968560189762236,0.011630627348012354,0.04963301400021886,1.1286979188704482
47,48.0,0.8952484715256852,1.0616696344963246,0.013069279182817686,0.12311082274481813,1.1882484715256854
48,49.0,0.8716141117844257,0.9625779696592749,0.014027018398540448,0.07740634631361945,1.106614111784426
49,50.0,0.9388453473630693,1.6549198391917008,0.021414314626691522,0.3215948918739117,1.3348453473630697
50,51.0,0.9442379979221289,1.8292805077071501,0.019172610230757597,0.530694791298088,1.3322379979221293
51,52.0,0.9251160466801895,1.3715264555751832,0.014709005681110422,0.2297070476188821,1.2791160466801899
52,53.0,1.0356526506250758,2.102100827403744,0.021043501596954416,0.6296200957590932,1.4636526506250287
53,54.0,1.0030688213808852,2.0566341936109698,0.02207544131352074,0.8871469621971807,1.4430688213808367
